component,local_path,url,hash,participant_id,file_type,size
P3,erpcore/P3/CHANGES,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077be9e80d3708eca58efb,md5:2768cbba63829c5a2b48f601d5c9eac8,,,76
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c06ba010908a7892b8b,md5:eaa97298ad5a37d7fe37bbca907d79ea,sub-001,,1651
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c08ba010908a4892449,md5:785dc48789dc654f5e7e3686b50441fa,sub-001,raw_files,3957432
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c0aba010908a4892452,md5:5de6056cdcb5d3e9107f307044465873,sub-001,log_files,14557
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc720c4cba026abcb009,md5:2d5e9897239df6feea87762c209ce9cf,sub-001,,924
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc760c4cba026ebcd202,md5:773aca922ea9a7c0e1259d63590a67e8,sub-001,,55
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c03ba010908a7892b80,md5:18d2a32492658f1f5befd62cd6aaf0eb,sub-001,,63123456
P3,erpcore/P3/sub-001/eeg/sub-001_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077bfce80d3708e6a57aea,md5:b3f747b422beb20d963861567ffe1c4f,sub-001,,512
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c0cba0109089e891d9b,md5:b3f747b422beb20d963861567ffe1c4f,sub-002,,512
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c12ba0109089e891da5,md5:2eab3bfe25a5fd32ed42eda0d6270f16,sub-002,,54743040
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c1586541a092c14d677,md5:cf3c2cee2447e7849635ea5da292c822,sub-002,,1651
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c19e80d3708e7a58060,md5:e812c66fe59894f607e8895221f4918b,sub-002,raw_files,3448864
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c1de80d3708dfa573fe,md5:ba1aeed3dbfdcf412a4f9d9067637ba6,sub-002,log_files,14547
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc780c4cba026ebcd210,md5:2d5e9897239df6feea87762c209ce9cf,sub-002,,924
P3,erpcore/P3/sub-002/eeg/sub-002_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc7cc7a976029b9df9d0,md5:773aca922ea9a7c0e1259d63590a67e8,sub-002,,55
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc850c4cba026ebcd228,md5:773aca922ea9a7c0e1259d63590a67e8,sub-003,,55
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_electrodes.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc81c7a976029a9dde96,md5:2d5e9897239df6feea87762c209ce9cf,sub-003,,924
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c3386541a092914b8ad,md5:a497ec5a8b17cb761ad8b8a7a636d48e,sub-003,log_files,14474
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_eeg.set,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c2e86541a092c14d85b,md5:7db4a006b567bc9e7aeb20f70adc10a7,sub-003,raw_files,3219208
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_channels.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c20e80d3708eaa58867,md5:b3f747b422beb20d963861567ffe1c4f,sub-003,,512
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_eeg.fdt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c25ba0109089e891db8,md5:a1c9ff06c6fdb8bb504f8fb7321b2c4d,sub-003,,50958336
P3,erpcore/P3/sub-003/eeg/sub-003_task-P3_eeg.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c29ba010908a7892c09,md5:924047c01dd4b47dfa4283e4934f5369,sub-003,,1651
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_events.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077c45e80d3708eaa588c8,md5:dfb75476b07691649378c720cbad8600,sub-004,log_files,14561
P3,erpcore/P3/sub-004/eeg/sub-004_task-P3_coordsystem.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//6101fc8cc7a976029a9ddea9,md5:773aca922ea9a7c0e1259d63590a67e8,sub-004,,55
