local_path,url,hash,participant_id,file_type,size
raw/18.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf48ba6c613b02948f3f23,md5:cd96049bbc799ba3e28793f622935b2c,18,,228142080
raw/18.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e29ad5a102cc5c59ac,md5:13490420b759f1b051ca4f83e7afef9b,18,raw_files,11774
raw/18.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56f8594d9002c47fb46a,md5:efeae4c507a395cb187ba346a1a14471,18,,396154
cali/18_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d489ad5a102cd5c5d49,md5:aa655d8d7ae25cdd954b10d01d69e646,18,besa_files,47958
log/18_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1be7b83f6902b0a621f3,md5:b6abedf16e0b7d364f8d6eefe9555019,18,log_files,506904
raw/19.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4918b83f6902b0a62aa0,md5:0ab014f506e02a423003c0d225947f14,19,,285811200
raw/19.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e2b83f6902b2a647a3,md5:eed7e8febe6d3b48b11a077bc913f963,19,raw_files,11774
raw/19.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56f96c613b02968f6d38,md5:02d5b5b1c08920f0c3378afc691cd784,19,,391941
cali/19_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d4ab83f6902b3a6653b,md5:02dc9b5c58e4e8a4f8006504e698d90e,19,besa_files,47911
log/19_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1be76c613b02948f3575,md5:4ba467b2e73d434a8ca0a08b3634b116,19,log_files,503064
raw/20.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf49a06c613b02968f69a8,md5:f0e8ff9bbabbc3fbb5ecaa0121d2cc98,20,,232780800
raw/20.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e29ad5a102cd5c6b12,md5:73054b3c4e170cf4532d4416ebf5d454,20,raw_files,11774
raw/20.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56f8b83f6902b3a67979,md5:70910d067d571dea7b135c6f7ac2b670,20,,389884
cali/20_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d496c613b02948f35d5,md5:0456d4eef81d993b9830456a3ff7fae9,20,besa_files,47458
log/20_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1be9594d9002c67fe88c,md5:ffe619ac39ea0fa7e1b6d462c1ee46e6,20,log_files,503079
raw/21.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4a059ad5a102cc5c574f,md5:1dc4476cf275c4e99863000a69c4db19,21,,233470720
raw/21.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e2b83f6902b3a67941,md5:ab37fcc87b87f793081e190d2f299f52,21,raw_files,11774
raw/21.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56fcb83f6902b0a62cf3,md5:905853f5cc8a639ef52cde90aa263d11,21,,391026
cali/21_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d4a594d9002c37fa097,md5:a65537ffca0dc10605badacf1f44578f,21,besa_files,47794
log/21_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1be69ad5a102cb5c3997,md5:532e7a6485f0eafb4fd64d1e39d7e7c0,21,log_files,506905
raw/22.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4a97b83f6902b2a644e6,md5:113789ce32fbf08acb3d5847f0c7598f,22,,262647040
raw/22.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e4b83f6902b3a67945,md5:d4fe398f6ee8402cb51cd9994be862f7,22,raw_files,11774
raw/22.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56fc594d9002c57fc71b,md5:4b11713ab8c5d2feca27a1eac3197966,22,,391395
cali/22_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d4a6c613b02948f35d8,md5:84fb2e984b6cebefcb1728aae1d3f24c,22,besa_files,47571
log/22_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bf96c613b02948f3582,md5:831d068ed686d0da378758ebbf4b24a2,22,log_files,506918
raw/23.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4a839ad5a102ce5c951f,md5:54dc62503fb24a164087db11c7930786,23,,252595200
raw/23.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e5594d9002c57fc70d,md5:640475be2ddb7b356baac314d514ca5f,23,raw_files,11774
raw/23.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56fb6c613b02978f51a6,md5:55b223fd2772301f99e04d23a8826e0d,23,,386330
cali/23_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d4c6c613b02968f5cde,md5:fd888c7217011b0c131ebff7a794ced5,23,besa_files,47698
log/23_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bf76c613b02978f43b6,md5:463f3b964cfaac66a7f028b6a06343f5,23,log_files,502955
raw/24.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4a6b594d9002c67ff870,md5:57412836093e11db49c19c337975b218,24,,249995520
raw/24.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e5594d9002c67ffc4a,md5:5f23fa39b22ea9c079aaaa150b172ffd,24,raw_files,11774
raw/24.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56fb6c613b02948f426a,md5:36954cc5e23be08bb8b40d51d3e85343,24,,389820
cali/24_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d506c613b02968f5ce2,md5:b7aeef15329f6c4d9fceeb7249ce9647,24,besa_files,47688
log/24_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bfab83f6902b3a664bd,md5:97b8107d6179d9c33dabfe44a6c1d8e0,24,log_files,503031
raw/25.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4aa3594d9002c47fb1e1,md5:641ba4b041a3ed0012ac846a0bb0cf88,25,,245283840
raw/25.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e69ad5a102cc5c59b5,md5:a814c72d782aeae63b0e55c27eb46450,25,raw_files,11774
raw/25.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56ff6c613b02968f6d42,md5:27b65a888f7ec90b9d003a03eaa05732,25,,389454
cali/25_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d54b83f6902b1a62887,md5:2aee4340bd0abdab35eec6c0efb41c3e,25,besa_files,47879
log/25_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bfd6c613b02948f3589,md5:a14c48f17eb6aa017bb1ffe530f933d6,25,log_files,506907
raw/26.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4c95594d9002c37faa86,md5:8a5c7cd8cb2dbbcb39bbad29ea7ba928,26,,235558400
raw/26.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e66c613b02948f425c,md5:f1fef39fddb761f995d7169882e0b8d2,26,raw_files,11774
raw/26.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56fe9ad5a102cc5c59c4,md5:91068b0b069d52b32d4ecfa1c56773a6,26,,388122
cali/26_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d54594d9002c67fe92a,md5:2b4e66bda0455a5c49a616a9cc717366,26,besa_files,47540
log/26_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bfa6c613b02968f5c40,md5:a47d9dcca8df4cacb21caf85bc851b01,26,log_files,506790
raw/27.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4c8d6c613b02978f4f33,md5:537393d12790b45cbedeeaf189d84118,27,,247159040
raw/27.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e7b83f6902b2a647a7,md5:1da287fcf22e8e99975e1a4e1c0bccea,27,raw_files,11774
raw/27.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56ffb83f6902b3a6798b,md5:fe4b984ceeef8be7e8401652cb7c872b,27,,389379
cali/27_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d539ad5a102ce5c860c,md5:3d65e0024094a5b708c2755e7ff3575e,27,besa_files,47629
log/27_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c079ad5a102cb5c39a1,md5:4515d97965cd4cfc025cfddb3415dfce,27,log_files,503105
raw/28.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4ca0b83f6902b1a631bc,md5:e38b6dee5a3a78ce3845f474138d7116,28,,257712640
raw/28.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56eb594d9002c57fc710,md5:78cf33c816cab2e2da3b5ce7a4c4c62f,28,raw_files,11774
raw/28.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf5702b83f6902b1a633be,md5:67178dc22ffadecb0f7885eed235dacf,28,,390937
cali/28_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d549ad5a102ce5c860f,md5:e1f631082684aea8e44458ee03f3f7d5,28,besa_files,47674
log/28_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c07b83f6902b3a664c8,md5:434a044e1775b0e23eff8b14b9ff06df,28,log_files,503120
raw/29.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4c8e594d9002c47fb23c,md5:f920ac35796e74dab4bdb87cf400d96f,29,,248382720
raw/29.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56ec9ad5a102cb5c43f7,md5:d4dbe5f4752d0c141df3d6cfabea07ff,29,raw_files,11774
raw/29.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf5700594d9002c67ffc68,md5:ab25fa3d46313c46964a180b451d4f29,29,,388634
cali/29_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d54594d9002c67fe927,md5:974c4cb37dfbff4db2a500e759561799,29,besa_files,47768
log/29_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c076c613b02968f5c4c,md5:4937289dad17903aff89eae2c22f1ad5,29,log_files,506896
raw/30.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4ce9594d9002c57fc4c2,md5:c90e2f9d5bc64e874c6e3b2be2f78796,30,,291279360
raw/30.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56ed6c613b02968f6d29,md5:0f787dde9ee997140a0249d825effb19,30,raw_files,11774
raw/30.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf5700b83f6902b3a67990,md5:8788607d18010603417a367cfb9fedc5,30,,390019
cali/30_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d566c613b02948f35dd,md5:bdcd278dfc146f2e891c458623269ad3,30,besa_files,47598
log/30_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c08b83f6902b1a62821,md5:31d7aa39d9c4f113bd9db9a176eb6ddf,30,log_files,506950
raw/31.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4fb29ad5a102ce5c96c6,md5:829ce23b46ab13fd128d742c968a8b18,31,,262684160
raw/31.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56dab83f6902b0a62cd9,md5:20a184cd7a79ddd8330e6f35da7ffc04,31,raw_files,11635
raw/31.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf5701594d9002c67ffc6b,md5:34b39adc58c1774895f4c3230f95e45a,31,,390140
cali/31_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d599ad5a102cc5c4e07,md5:7c90424ca54e7293b9f3acdb3946f138,31,besa_files,47379
log/31_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c07594d9002c57fb932,md5:6185fad458b61baccd4fce28976624b4,31,log_files,503135
raw/32.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4fa46c613b02968f6b33,md5:2add57f74cbb1ffd329d025299736e9c,32,,247575040
raw/32.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56db594d9002c47fb452,md5:03ba99eb1c3d637a663bf0d5baa5c6a7,32,raw_files,11774
raw/32.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf57026c613b02948f426f,md5:9d63fb79bcef6621d859febdd3ddec7e,32,,388911
cali/32_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d59b83f6902b1a6288a,md5:4a4e2acc259bf58c3b5ca30671720b6c,32,besa_files,47613
log/32_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1c1d9ad5a102ce5c8587,md5:b68fde26a062c89b6b367f7b16799353,32,log_files,503066
raw/33.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4f92b83f6902b3a676a6,md5:e00e2b421547ef08ccebe81b682a2cde,33,,235572480
raw/33.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56da6c613b02978f5192,md5:f583ecff5b3e436c17180846fc01149c,33,raw_files,11774
